Date,State,Market,Crop,Variety,Min_Price,Max_Price,Modal_Price
2025-11-06,Maharashtra,Nashik,Tomato,Local,4144,4544,4344
2025-06-24,Maharashtra,Aurangabad,Onion,Local,2959,3359,3159
2025-07-24,Maharashtra,Pune,Rice,Local,2738,3138,2938
2025-09-19,Maharashtra,Nashik,Onion,Local,2532,2932,2732
2025-03-10,Maharashtra,Pune,Potato,Local,4591,4991,4791
2025-05-05,Maharashtra,Nagpur,Wheat,Local,3271,3671,3471
2025-12-30,Maharashtra,Pune,Tomato,Local,2867,3267,3067
2025-05-06,Maharashtra,Mumbai,Potato,Local,4153,4553,4353
2025-06-22,Maharashtra,Pune,Wheat,Local,904,1304,1104
2025-07-20,Maharashtra,Mumbai,Wheat,Local,3212,3612,3412
2026-01-14,Maharashtra,Nashik,Onion,Local,4799,5199,4999
2026-04-27,Maharashtra,Nagpur,Onion,Local,4730,5130,4930
2025-10-10,Maharashtra,Nashik,Onion,Local,1963,2363,2163
2025-08-24,Maharashtra,Nagpur,Tomato,Local,2647,3047,2847
2025-04-08,Maharashtra,Mumbai,Onion,Local,1166,1566,1366
2026-03-13,Maharashtra,Pune,Potato,Local,4471,4871,4671
2026-03-06,Maharashtra,Pune,Potato,Local,2092,2492,2292
2025-02-19,Maharashtra,Nashik,Soybean,Local,1918,2318,2118
2025-08-25,Maharashtra,Mumbai,Tomato,Local,4452,4852,4652
2025-07-31,Maharashtra,Nagpur,Wheat,Local,4543,4943,4743
2025-03-20,Maharashtra,Pune,Wheat,Local,3232,3632,3432
2025-06-21,Maharashtra,Nashik,Wheat,Local,963,1363,1163
2025-05-11,Maharashtra,Mumbai,Soybean,Local,1983,2383,2183
2026-01-10,Maharashtra,Aurangabad,Soybean,Local,3327,3727,3527
2026-04-15,Maharashtra,Pune,Wheat,Local,4709,5109,4909
2025-02-06,Maharashtra,Nagpur,Wheat,Local,3023,3423,3223
2026-02-02,Maharashtra,Aurangabad,Wheat,Local,1574,1974,1774
2026-01-07,Maharashtra,Pune,Tomato,Local,2122,2522,2322
2025-02-25,Maharashtra,Nashik,Wheat,Local,4348,4748,4548
2025-08-20,Maharashtra,Mumbai,Onion,Local,2266,2666,2466
2025-07-13,Maharashtra,Nashik,Soybean,Local,4541,4941,4741
2026-03-31,Maharashtra,Pune,Tomato,Local,2962,3362,3162
2025-12-19,Maharashtra,Nagpur,Potato,Local,3964,4364,4164
2026-01-24,Maharashtra,Aurangabad,Potato,Local,1553,1953,1753
2026-01-24,Maharashtra,Nashik,Soybean,Local,3668,4068,3868
2025-12-31,Maharashtra,Nashik,Potato,Local,4194,4594,4394
2026-02-25,Maharashtra,Aurangabad,Onion,Local,2951,3351,3151
2025-07-11,Maharashtra,Pune,Rice,Local,3255,3655,3455
2026-03-28,Maharashtra,Aurangabad,Tomato,Local,3386,3786,3586
2025-08-14,Maharashtra,Nashik,Soybean,Local,974,1374,1174
2025-10-09,Maharashtra,Nagpur,Soybean,Local,2568,2968,2768
2025-05-04,Maharashtra,Aurangabad,Onion,Local,1809,2209,2009
2026-03-29,Maharashtra,Aurangabad,Tomato,Local,3424,3824,3624
2026-01-17,Maharashtra,Aurangabad,Rice,Local,3506,3906,3706
2025-05-22,Maharashtra,Mumbai,Tomato,Local,2516,2916,2716
2025-05-21,Maharashtra,Pune,Tomato,Local,3541,3941,3741
2025-02-27,Maharashtra,Pune,Tomato,Local,1941,2341,2141
2025-10-11,Maharashtra,Pune,Potato,Local,3876,4276,4076
2026-03-07,Maharashtra,Aurangabad,Rice,Local,3096,3496,3296
2025-04-02,Maharashtra,Pune,Wheat,Local,4763,5163,4963
2025-01-27,Maharashtra,Mumbai,Rice,Local,2260,2660,2460
2025-07-26,Maharashtra,Aurangabad,Soybean,Local,1884,2284,2084
2025-07-08,Maharashtra,Nashik,Soybean,Local,1477,1877,1677
2026-01-29,Maharashtra,Mumbai,Potato,Local,2366,2766,2566
2026-03-01,Maharashtra,Nashik,Potato,Local,938,1338,1138
2025-05-12,Maharashtra,Mumbai,Soybean,Local,1509,1909,1709
2025-11-09,Maharashtra,Aurangabad,Potato,Local,3680,4080,3880
2025-07-01,Maharashtra,Nagpur,Tomato,Local,3085,3485,3285
2025-05-16,Maharashtra,Aurangabad,Wheat,Local,3482,3882,3682
2026-03-12,Maharashtra,Mumbai,Wheat,Local,2806,3206,3006
2025-09-28,Maharashtra,Pune,Onion,Local,2933,3333,3133
2026-02-28,Maharashtra,Nashik,Soybean,Local,3042,3442,3242
2025-10-17,Maharashtra,Aurangabad,Tomato,Local,3740,4140,3940
2026-04-21,Maharashtra,Aurangabad,Rice,Local,4309,4709,4509
2025-01-17,Maharashtra,Pune,Onion,Local,2777,3177,2977
2025-08-14,Maharashtra,Mumbai,Rice,Local,934,1334,1134
2026-03-10,Maharashtra,Mumbai,Wheat,Local,2648,3048,2848
2026-04-22,Maharashtra,Nagpur,Wheat,Local,2850,3250,3050
2025-11-11,Maharashtra,Nashik,Tomato,Local,1893,2293,2093
2025-05-12,Maharashtra,Nashik,Tomato,Local,4245,4645,4445
2026-05-11,Maharashtra,Mumbai,Tomato,Local,1397,1797,1597
2025-10-29,Maharashtra,Pune,Potato,Local,4517,4917,4717
2025-11-14,Maharashtra,Aurangabad,Rice,Local,4350,4750,4550
2025-08-24,Maharashtra,Mumbai,Tomato,Local,2194,2594,2394
2025-09-16,Maharashtra,Pune,Rice,Local,2675,3075,2875
2025-04-20,Maharashtra,Nagpur,Tomato,Local,2257,2657,2457
2025-07-26,Maharashtra,Aurangabad,Onion,Local,1529,1929,1729
2026-01-22,Maharashtra,Pune,Soybean,Local,2654,3054,2854
2025-01-05,Maharashtra,Nashik,Rice,Local,3122,3522,3322
2025-04-15,Maharashtra,Pune,Rice,Local,2470,2870,2670
2025-02-16,Maharashtra,Pune,Tomato,Local,3392,3792,3592
2025-06-25,Maharashtra,Aurangabad,Soybean,Local,1471,1871,1671
2025-01-03,Maharashtra,Aurangabad,Wheat,Local,1613,2013,1813
2025-01-13,Maharashtra,Nashik,Wheat,Local,4528,4928,4728
2025-04-23,Maharashtra,Pune,Potato,Local,2535,2935,2735
2025-02-15,Maharashtra,Pune,Onion,Local,831,1231,1031
2025-12-18,Maharashtra,Mumbai,Onion,Local,858,1258,1058
2025-11-06,Maharashtra,Mumbai,Tomato,Local,4418,4818,4618
2025-02-27,Maharashtra,Mumbai,Soybean,Local,1490,1890,1690
2025-05-03,Maharashtra,Nagpur,Onion,Local,1307,1707,1507
2025-12-22,Maharashtra,Pune,Soybean,Local,2532,2932,2732
2025-12-04,Maharashtra,Mumbai,Onion,Local,4686,5086,4886
2025-11-26,Maharashtra,Nashik,Rice,Local,4063,4463,4263
2025-09-29,Maharashtra,Nagpur,Tomato,Local,2487,2887,2687
2026-03-12,Maharashtra,Nashik,Rice,Local,864,1264,1064
2025-05-28,Maharashtra,Nagpur,Wheat,Local,3884,4284,4084
2025-03-18,Maharashtra,Mumbai,Potato,Local,998,1398,1198
2025-01-02,Maharashtra,Mumbai,Potato,Local,2497,2897,2697
2026-03-09,Maharashtra,Mumbai,Soybean,Local,4196,4596,4396
2025-04-21,Maharashtra,Pune,Wheat,Local,2936,3336,3136
2025-11-24,Maharashtra,Pune,Potato,Local,958,1358,1158
2025-12-26,Maharashtra,Aurangabad,Potato,Local,4022,4422,4222
2025-11-27,Maharashtra,Nashik,Rice,Local,3394,3794,3594
2025-01-27,Maharashtra,Mumbai,Potato,Local,4053,4453,4253
2025-04-23,Maharashtra,Pune,Potato,Local,3344,3744,3544
2025-03-13,Maharashtra,Mumbai,Potato,Local,1509,1909,1709
2025-02-05,Maharashtra,Pune,Wheat,Local,925,1325,1125
2025-05-17,Maharashtra,Aurangabad,Potato,Local,1881,2281,2081
2025-06-30,Maharashtra,Nashik,Rice,Local,1933,2333,2133
2025-11-20,Maharashtra,Nashik,Wheat,Local,3196,3596,3396
2026-04-26,Maharashtra,Nagpur,Wheat,Local,2784,3184,2984
2026-01-11,Maharashtra,Mumbai,Onion,Local,3949,4349,4149
2025-01-28,Maharashtra,Pune,Potato,Local,2564,2964,2764
2026-01-10,Maharashtra,Nagpur,Wheat,Local,4477,4877,4677
2026-03-17,Maharashtra,Nashik,Wheat,Local,3637,4037,3837
2025-12-20,Maharashtra,Nagpur,Potato,Local,4425,4825,4625
2025-07-05,Maharashtra,Aurangabad,Tomato,Local,4006,4406,4206
2025-01-20,Maharashtra,Aurangabad,Tomato,Local,1215,1615,1415
2025-08-25,Maharashtra,Nagpur,Onion,Local,1413,1813,1613
2026-04-02,Maharashtra,Nagpur,Wheat,Local,2489,2889,2689
2025-12-20,Maharashtra,Nagpur,Wheat,Local,4350,4750,4550
2026-05-15,Maharashtra,Pune,Potato,Local,3053,3453,3253
2025-01-28,Maharashtra,Pune,Rice,Local,3984,4384,4184
2025-07-15,Maharashtra,Aurangabad,Onion,Local,3695,4095,3895
2025-11-26,Maharashtra,Nagpur,Soybean,Local,1361,1761,1561
2026-03-15,Maharashtra,Nashik,Potato,Local,3234,3634,3434
2025-12-06,Maharashtra,Aurangabad,Rice,Local,4720,5120,4920
2025-10-24,Maharashtra,Aurangabad,Tomato,Local,809,1209,1009
2025-09-14,Maharashtra,Aurangabad,Potato,Local,958,1358,1158
2025-02-02,Maharashtra,Nagpur,Onion,Local,1149,1549,1349
2025-12-21,Maharashtra,Nagpur,Wheat,Local,3164,3564,3364
2025-05-05,Maharashtra,Mumbai,Tomato,Local,936,1336,1136
2025-10-23,Maharashtra,Pune,Potato,Local,1936,2336,2136
2025-01-25,Maharashtra,Nashik,Potato,Local,3470,3870,3670
2025-05-14,Maharashtra,Pune,Onion,Local,4497,4897,4697
2025-03-07,Maharashtra,Nashik,Onion,Local,1708,2108,1908
2025-01-25,Maharashtra,Nashik,Potato,Local,1534,1934,1734
2025-07-29,Maharashtra,Mumbai,Rice,Local,3358,3758,3558
2025-06-27,Maharashtra,Mumbai,Onion,Local,4002,4402,4202
2025-10-08,Maharashtra,Nagpur,Soybean,Local,3268,3668,3468
2025-01-15,Maharashtra,Mumbai,Onion,Local,4426,4826,4626
2025-10-21,Maharashtra,Nagpur,Potato,Local,1468,1868,1668
2025-01-06,Maharashtra,Mumbai,Onion,Local,3812,4212,4012
2025-05-11,Maharashtra,Aurangabad,Tomato,Local,1805,2205,2005
2025-01-04,Maharashtra,Nashik,Potato,Local,3098,3498,3298
2025-10-18,Maharashtra,Nashik,Rice,Local,4677,5077,4877
2025-09-17,Maharashtra,Mumbai,Soybean,Local,3619,4019,3819
2025-12-28,Maharashtra,Nagpur,Soybean,Local,1461,1861,1661
2025-04-24,Maharashtra,Mumbai,Rice,Local,1420,1820,1620
2025-08-30,Maharashtra,Nashik,Onion,Local,2163,2563,2363
2026-01-24,Maharashtra,Mumbai,Potato,Local,1624,2024,1824
2025-10-30,Maharashtra,Nashik,Onion,Local,1466,1866,1666
2025-11-21,Maharashtra,Aurangabad,Onion,Local,2539,2939,2739
2025-02-10,Maharashtra,Pune,Potato,Local,900,1300,1100
2025-04-17,Maharashtra,Nagpur,Onion,Local,4479,4879,4679
2025-02-21,Maharashtra,Mumbai,Tomato,Local,1715,2115,1915
2025-08-17,Maharashtra,Mumbai,Potato,Local,2948,3348,3148
2026-04-06,Maharashtra,Nashik,Wheat,Local,4420,4820,4620
2025-07-03,Maharashtra,Nashik,Rice,Local,3059,3459,3259
2026-03-07,Maharashtra,Nashik,Tomato,Local,3278,3678,3478
2025-12-17,Maharashtra,Pune,Onion,Local,3061,3461,3261
2025-01-13,Maharashtra,Mumbai,Soybean,Local,1858,2258,2058
2025-03-09,Maharashtra,Nashik,Soybean,Local,3675,4075,3875
2025-08-31,Maharashtra,Mumbai,Potato,Local,1985,2385,2185
2025-07-15,Maharashtra,Nagpur,Onion,Local,1242,1642,1442
2025-01-14,Maharashtra,Mumbai,Soybean,Local,2496,2896,2696
2025-12-21,Maharashtra,Nagpur,Tomato,Local,812,1212,1012
2025-07-26,Maharashtra,Mumbai,Soybean,Local,4592,4992,4792
2025-05-28,Maharashtra,Pune,Potato,Local,3764,4164,3964
2025-09-20,Maharashtra,Aurangabad,Tomato,Local,1390,1790,1590
2026-03-09,Maharashtra,Aurangabad,Soybean,Local,4319,4719,4519
2025-07-27,Maharashtra,Nagpur,Wheat,Local,1713,2113,1913
2025-07-05,Maharashtra,Nagpur,Wheat,Local,2736,3136,2936
2025-12-29,Maharashtra,Nagpur,Rice,Local,1528,1928,1728
2026-04-25,Maharashtra,Nashik,Rice,Local,1218,1618,1418
2025-06-29,Maharashtra,Nagpur,Tomato,Local,3327,3727,3527
2025-06-04,Maharashtra,Pune,Onion,Local,4115,4515,4315
2026-04-13,Maharashtra,Pune,Rice,Local,1994,2394,2194
2025-08-06,Maharashtra,Nashik,Potato,Local,1858,2258,2058
2025-06-08,Maharashtra,Mumbai,Wheat,Local,3739,4139,3939
2026-05-12,Maharashtra,Nashik,Rice,Local,1621,2021,1821
2025-06-16,Maharashtra,Pune,Potato,Local,1486,1886,1686
2026-01-31,Maharashtra,Aurangabad,Rice,Local,1273,1673,1473
2025-05-23,Maharashtra,Aurangabad,Potato,Local,3835,4235,4035
2026-02-27,Maharashtra,Nashik,Tomato,Local,2197,2597,2397
2025-02-11,Maharashtra,Pune,Soybean,Local,1886,2286,2086
2025-10-02,Maharashtra,Pune,Potato,Local,3416,3816,3616
2026-04-28,Maharashtra,Mumbai,Onion,Local,3785,4185,3985
2026-04-23,Maharashtra,Aurangabad,Tomato,Local,1712,2112,1912
2025-10-26,Maharashtra,Nashik,Wheat,Local,3809,4209,4009
2025-10-06,Maharashtra,Pune,Tomato,Local,819,1219,1019
2025-12-14,Maharashtra,Nashik,Potato,Local,2399,2799,2599
2025-02-09,Maharashtra,Mumbai,Tomato,Local,1681,2081,1881
2025-03-17,Maharashtra,Aurangabad,Onion,Local,2869,3269,3069
2025-04-09,Maharashtra,Nashik,Wheat,Local,3616,4016,3816
2026-04-12,Maharashtra,Nashik,Soybean,Local,1565,1965,1765
2026-05-12,Maharashtra,Mumbai,Soybean,Local,1462,1862,1662
2025-03-23,Maharashtra,Aurangabad,Onion,Local,4666,5066,4866
2026-02-03,Maharashtra,Mumbai,Tomato,Local,4696,5096,4896
2025-07-13,Maharashtra,Pune,Tomato,Local,3962,4362,4162
2025-08-30,Maharashtra,Nashik,Soybean,Local,3610,4010,3810
2026-03-27,Maharashtra,Aurangabad,Rice,Local,3362,3762,3562
2025-08-19,Maharashtra,Pune,Tomato,Local,4508,4908,4708
2025-09-07,Maharashtra,Pune,Wheat,Local,4629,5029,4829
2025-10-08,Maharashtra,Mumbai,Onion,Local,1189,1589,1389
2026-01-18,Maharashtra,Aurangabad,Tomato,Local,1165,1565,1365
2025-11-12,Maharashtra,Mumbai,Tomato,Local,4233,4633,4433
2026-04-12,Maharashtra,Aurangabad,Potato,Local,2033,2433,2233
2025-09-12,Maharashtra,Aurangabad,Wheat,Local,1500,1900,1700
2025-06-24,Maharashtra,Mumbai,Wheat,Local,3506,3906,3706
2026-01-18,Maharashtra,Mumbai,Wheat,Local,1991,2391,2191
2025-03-29,Maharashtra,Pune,Potato,Local,1337,1737,1537
2025-12-22,Maharashtra,Nagpur,Wheat,Local,2439,2839,2639
2026-01-19,Maharashtra,Nashik,Potato,Local,1787,2187,1987
2025-02-23,Maharashtra,Aurangabad,Soybean,Local,3882,4282,4082
2026-03-27,Maharashtra,Nagpur,Onion,Local,1334,1734,1534
2025-08-22,Maharashtra,Nagpur,Rice,Local,4490,4890,4690
2026-04-17,Maharashtra,Nashik,Onion,Local,3267,3667,3467
2025-01-07,Maharashtra,Nashik,Soybean,Local,1899,2299,2099
2025-11-17,Maharashtra,Aurangabad,Wheat,Local,1139,1539,1339
2025-04-12,Maharashtra,Nagpur,Rice,Local,2505,2905,2705
2026-04-05,Maharashtra,Nagpur,Wheat,Local,1614,2014,1814
2025-05-28,Maharashtra,Aurangabad,Potato,Local,4124,4524,4324
2025-08-06,Maharashtra,Mumbai,Wheat,Local,2368,2768,2568
2025-07-28,Maharashtra,Nashik,Soybean,Local,4452,4852,4652
2025-06-05,Maharashtra,Nagpur,Wheat,Local,3503,3903,3703
2025-11-04,Maharashtra,Pune,Rice,Local,4184,4584,4384
2025-03-11,Maharashtra,Aurangabad,Tomato,Local,3082,3482,3282
2025-02-24,Maharashtra,Pune,Potato,Local,3993,4393,4193
2025-05-05,Maharashtra,Nagpur,Wheat,Local,1717,2117,1917
2026-03-23,Maharashtra,Aurangabad,Rice,Local,4141,4541,4341
2026-01-24,Maharashtra,Aurangabad,Soybean,Local,1134,1534,1334
2026-01-07,Maharashtra,Aurangabad,Onion,Local,4612,5012,4812
2025-06-11,Maharashtra,Nashik,Soybean,Local,2556,2956,2756
2025-10-15,Maharashtra,Mumbai,Potato,Local,4144,4544,4344
2025-01-24,Maharashtra,Nashik,Potato,Local,915,1315,1115
2026-03-22,Maharashtra,Nagpur,Tomato,Local,1850,2250,2050
2026-03-21,Maharashtra,Nagpur,Tomato,Local,1781,2181,1981
2025-05-27,Maharashtra,Mumbai,Tomato,Local,4462,4862,4662
2026-05-05,Maharashtra,Mumbai,Wheat,Local,1607,2007,1807
2025-02-07,Maharashtra,Pune,Rice,Local,2573,2973,2773
2025-01-19,Maharashtra,Aurangabad,Tomato,Local,3812,4212,4012
2026-04-05,Maharashtra,Nagpur,Rice,Local,2065,2465,2265
2026-01-08,Maharashtra,Pune,Tomato,Local,1492,1892,1692
2026-01-18,Maharashtra,Pune,Rice,Local,4533,4933,4733
2026-05-01,Maharashtra,Nagpur,Wheat,Local,955,1355,1155
2025-05-29,Maharashtra,Aurangabad,Rice,Local,2558,2958,2758
2025-02-14,Maharashtra,Mumbai,Potato,Local,4226,4626,4426
2025-03-25,Maharashtra,Nagpur,Soybean,Local,2648,3048,2848
2025-02-16,Maharashtra,Aurangabad,Tomato,Local,2215,2615,2415
2026-02-24,Maharashtra,Pune,Tomato,Local,3318,3718,3518
2026-03-27,Maharashtra,Mumbai,Wheat,Local,4535,4935,4735
2025-12-15,Maharashtra,Nashik,Rice,Local,4666,5066,4866
2025-12-31,Maharashtra,Nashik,Potato,Local,2431,2831,2631
2025-04-09,Maharashtra,Aurangabad,Wheat,Local,2482,2882,2682
2025-04-15,Maharashtra,Mumbai,Potato,Local,4391,4791,4591
2025-09-24,Maharashtra,Nashik,Onion,Local,2805,3205,3005
2025-08-19,Maharashtra,Aurangabad,Potato,Local,2166,2566,2366
2025-11-20,Maharashtra,Nashik,Wheat,Local,4498,4898,4698
2025-06-06,Maharashtra,Mumbai,Soybean,Local,1096,1496,1296
2025-02-02,Maharashtra,Nashik,Potato,Local,2562,2962,2762
2025-04-25,Maharashtra,Mumbai,Tomato,Local,1306,1706,1506
2025-10-16,Maharashtra,Nagpur,Onion,Local,2176,2576,2376
2025-06-28,Maharashtra,Pune,Onion,Local,3019,3419,3219
2025-02-12,Maharashtra,Nagpur,Onion,Local,1020,1420,1220
2025-06-19,Maharashtra,Mumbai,Onion,Local,4750,5150,4950
2025-12-16,Maharashtra,Nashik,Wheat,Local,3906,4306,4106
2025-05-15,Maharashtra,Nagpur,Tomato,Local,3414,3814,3614
2025-05-31,Maharashtra,Nashik,Wheat,Local,4533,4933,4733
2026-02-07,Maharashtra,Aurangabad,Onion,Local,3616,4016,3816
2026-05-02,Maharashtra,Aurangabad,Soybean,Local,3049,3449,3249
2026-02-07,Maharashtra,Nagpur,Tomato,Local,1839,2239,2039
2025-11-27,Maharashtra,Aurangabad,Onion,Local,1394,1794,1594
2025-01-20,Maharashtra,Nagpur,Rice,Local,3725,4125,3925
